hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
ruminmycoffee, youre depressed pull back  wow need anxiety kills every day  seasonal depression telling go back bed bank account saying better work bitch  didnt used anxiety decided take new level careful  ive stress headache days im putting cat tomorrow know whats best  hello im depressed post photos animals please
breadjpg, go fun run away crushing reality living life depression  may depression great qualities wait fuck  go fun run away crushing reality living life depression  may depression great qualities wait fuck  go fun run away crushing reality living life depression  may depression great qualities wait fuck  go fun run away crushing reality living life depression  may depression great qualities wait fuck  go fun run away crushing reality living life depression  may depression great qualities wait fuck  go fun run away crushing reality living life depression
eyecartalk, found funny someone crippling anxiety depression im always tre  exactly ive wearing mask since teenager im 31 depression  though still love 90s00s boybands grew bts completely differen  looked beautiful miss hugging old dog pts almost years  im sure bts would proud attitude exactly kind message want  like bts already got last month visiting england knew thoug
IamCarrieagain, youre right feeds low mood anxiety ive studied post grad level know  ready church anxiety bad morning hopefully settle walk going see kara  bed listening audiobook much today depression  feck ive ordered pizza chocolate orange milkshake im really struggling concentration depression  want hide bed go away depression collegewithcarrie  seeing charlotte janet really perked nice relief depression collegewithcarrie
Fangz_Gore, depression result years abuse yeah imgoing scars rest life  point last year depression took divebomb point almost killed couldnt imagine futu  thats okay best way help someone depression help know okay th  depression injury happens people commit mental emotional abuse disability  depression weakening connections brain ever visiting parts brain connec  depression sickness head physical brains work based connectionsour experiences  someone really happy depression full spectrum emotion like anyone else  honestly dont think many people know depression lot time equated sad tim  hmmm depression talk depression thatd probably healthy vent blog anyway  bad depression im getting better tho
sicklefrijoles, dont say hes cute hope hes ok mentioned depression
radlilac, mental health important youre depressed get help gotta get youre  depressed still still struggling amount work ive done months best
OffToKillmyself, theres difference bad guys evil suicidal depressed guys im second category  dont want depressed anymore brain
shxdai, dont know anything tired first depression
DFR682519, interesting thanks allergies chronic illness predisposes depression  im going prepare speechtoast 2018 trauma followed
theintellectfre, pain depression anxiety levels high past days today really wanted throw towe  truly need awakening mentalhealth selfcare many suffer silence misunderstanding  past two months ive extra dose anxiety pain depression ive walked buddy puppy much  anxiety pain levels fighting gains ive made think far ive come know ill find  read online concussion depression anxiety much inspired informative thera
thintention, maybr dont depression anymore  goals 2019 weightloss graduate get hobbies work anxiety little bit  hello depressed um
pbj_the_kid, post tyler depression
MyFibroTeam, patients fibromyalgia met great deal skepticism stigma even condescension including  sometimes try appear fine avoid stigma fibromyalgia found striving appear  fibromyalgia even simple dental procedures may result pain anxiety many dentists arent
prettytye, leave cause depression anxiety weak never suppose apart life  im real bad depressed ugh  hate cryin depressed
oh_my_god_yael, today feel like one eyeball one arm poking giant boulder made depression trying read  like shut funk every last one us living unspeakable trauma knowing everything lo  good mood wow surprisingly good morning anxiety youre annoying stupid everyone hates  kinda understand got ptsd fury years proud hard control
taynikole94, wish didnt anxiety depression could live normal fucking life  feel fucking sick anxiety worst  stressed depressed fucking life
DEVILS_MINIONS, know feels bro cause manic disorder originally called manic depression
iamkelvogee, beat cure depression send
Insane_Anna, smattering mostly co occurring disorders bpd  thank hard explain non bpd people  thank know especially bpd never cured idea could  hypervigilance really hard even drove crying one day php group therapy thing idk  raises hand definitely muddling dec 26th yay holiday trauma  know partner also bpd tricky honestly freeing someone tru  experience bpd nearly impossible explain people ex husband 15 years  ugh need become invisible day yay social anxiety  cold rainy going two weeks making depressed already please warm sunny  yes hard explain dissociation especially ptsd gf also love  depression creeping im financially stressed even working full time cant pay meds  biomom extremely abusive bpd split parents pretty hard im learning  im getting bitter things account tweets like um ok insomnia adhd 3amp4 depression  hard ask help hard around anxiety frien
_guacamollyyy, last year vs year dont open much overcame lot including mild depression amp binge eati
majimagore, lt3 youre sweetest im super stressed time year depression episode come  fuck im depressed lets drink straight bottle hours bby  ever depressed listen bass boosted baka mitai  im stressing work im gonna die stress one day
