hot_diggity_d,"['drugs', 'alcohol', 'seen', 'effect', 'honestly', 'hand', 'first', 'would', 'ive', 'depression']"
TheRealTBruce,"['gamessowhite', 'quinns', 'mystruggles', 'shitlord', 'zoe', 'patriarchy', 'fulfilling', 'adventure', 'holding', 'shitty', 'excuse', 'text', 'energy', 'fighting', 'living', 'little', 'back', 'life', 'thing', 'depression']"
OctopusNacho,"['regenerate', 'stabbing', 'doctorwho', 'anxietyawareness', 'youlike', 'inception', 'scenario', 'funtimes', 'notfeelingit', 'bim', 'query', 'delightful', 'secluded', 'horrid', 'wished', 'joyful', 'worried', 'within', 'dream', 'confusing', 'woken', 'chest', 'palpitations', 'unknown', 'sets', 'autumn', 'totally', 'cold', 'peaceful', 'flood', 'tight', 'jumped', 'legitimat', 'separation', 'truck', 'bam', 'hits', 'field', 'cool', 'anxietyproblems', 'google', 'loat', 'cats', 'allowed', 'nightmares', 'causing', 'badly', 'rare', 'poor', 'esteem']"
spacepaedo,"['jay', 'alzheimers']"
RoyalHoeliness,"['flown', 'grounding', 'lasted', 'mentioned', 'gym', 'despite', 'travel', 'exercise', 'wrote', 'several', 'period', 'soon', 'manage', 'started', 'months', 'social', 'gonna', 'times', 'hit', 'ive', 'use', 'anxiety', 'depression']"
Ms_JayneMarie,"['anexity', 'wasteoftime', 'beating', 'interesting', 'kinda', 'comes', 'therapist', 'dealing', 'support', 'alone', 'nothing', 'brain', 'home', 'thoughts', 'wish', 'watch', 'read', 'day', 'depression']"
ItzRottie,"['effects', 'small', 'making', 'stop', 'something', 'many', 'right', 'need', 'people', 'eve', 'depression']"
mrithejester,"['eliminates', 'allpowerful', '66kg', '2012', 'tiniest', 'attempting', '58', 'detail', 'century', 'planned', 'perhaps', 'dropped', 'mecha', 'selfharm', 'comfortable', 'suddenly', 'place', 'thread', 'journey', 'except', 'coping', 'women', 'major', 'another', 'started', 'happen', 'years', 'done', 'treat', 'nothing', 'god', 'ago', 'find', 'child', 'illness', 'first', 'please', 'since', 'trauma', 'would', 'still', 'read', 'let', 'good', 'got', 'need', 'suicide', 'life', 'people', 'real']"
EIDiabloRojo,"['arsed', 'connections', 'gone', 'sent', 'emotional', 'last', 'would', 'year', 'im', 'depression']"
untitled0000000,"['dismize', 'benefited', 'duped', 'betrayed', 'telephone', 'informing', 'blutack', 'kneaded', '1993', 'decisions', 'minimizing', 'horrendous', 'easily', 'blurt', 'existence', '79', 'martin', 'creed', 'worsened', 'worsening', 'noise', 'answering', 'urges', 'compared', 'procrastination', 'heavily', 'worsens', 'denying', 'foundation', 'explained', 'mentality', 'rolled', 'convinced', 'persons', 'ruining', 'swings', 'selfesteem', 'ignoring', 'caused', 'achieve', 'ignorant', 'provide', 'victims', 'worsen', 'interested', 'hurting', 'ignore', 'improve', 'bother', 'making']"
caehawksmoor,"['commander', 'soft', 'spot', 'loving', 'accept', 'recently', 'suffered', 'sound', 'probably', 'started', 'already', 'always', 'life', 'depressed', 'ive', 'depression']"
ricflairdahvid,"['pitch', 'celebrating', 'length', 'origi', 'goal', 'must', 'fam', 'ran', 'suffer', 'would', 'depression']"
KBGoddard,"['productive', 'positive', 'battle', 'stay', 'deal', 'try', 'anxiety', 'depression']"
killmeyoongii,"['sarcastically', 'crowds', 'savage', 'yoongi', 'marvel', 'fans', 'kpop', 'army', 'green', 'color', 'remind', 'bias', 'blue', 'hhhh', 'posts', 'groups', 'white', 'hype', 'wtf', 'bts', 'second', 'uh', 'black', 'crazy', 'shes', 'calm', 'seeing', 'whole', 'support', 'anything', 'big', 'trying', 'first', 'hav', 'getting', 'hate', 'thats', 'lot', 'also', 'friend', 'real', 'say', 'love', 'red', 'think', 'like', 'anxiety', 'depression']"
natigueNY,"['dusty', 'mayseptember', 'manipulation', 'lemme', 'snap', '2018', 'hair', 'damn', 'guess', 'cut', 'made', 'didnt', 'look', 'abuse', 'suicide', 'really', 'depression']"
VelliniV,"['referenced', 'joyously', 'drinks', 'reference', 'instagram', 'happening', 'rock', 'thinks', 'posting', 'dj', 'playing', 'certain', 'roll', 'wrong', 'story', 'bipolar', 'suicide', 'lot', 'thing', 'rea']"
xx_earthyjess,"['oversleeping', 'spontaneously', 'orleans', 'espresso', 'habits', 'excessive', 'tickets', 'buying', 'crash', 'dig', 'weed', 'drinking', 'slight', 'coping', 'given', 'couple', 'horrible', 'crazy', 'fucking', 'eating', 'little', 'hard', 'wish', 'show', 'best', 'trying', 'friends', 'less', 'new', 'days', 'would', 'ass', 'good', 'fuck', 'feel', 'make', 'amp', 'lea', 'depressed', 'ill', 'day', 'anxiety', 'go', 'ie', 'depression']"
melonmyg,"['ikr', 'breathed', 'satan', 'legends', 'millions', 'bringing', 'existing', 'uwu', 'smh', 'saved', 'happiness', 'stan', 'around', 'bts', 'thank', 'us', 'depression']"
jojiebooks,"['nooses', 'thick', 'city', 'case', 'death', 'hours', 'pretty', 'didnt', 'take', 'suicide', 'know', 'real', 'im', 'depression']"
Ddaeng1802,"['hugging', 'smiling', 'playing', 'together', 'etc', 'meet', 'tried', 'bts', 'remember', 'made', 'new', 'love', 'suicide', 'people', 'dont', 'like', 'anxiety', 'go', 'th', 'depression']"
FrancisHiruma09,"['1130pm', 'energies', 'chakra', 'jutsus', 'wholesome', 'converted', '5pm', 'failing', 'stronger', 'asleep', 'fell', 'perform', 'crying', 'lately', 'leave', 'theres', 'making', 'point', 'best', 'friend', 'stress', 'dont', 'im', 'depression']"
porkywap,"['seeing', 'therapist', 'fuckin', 'start', 'fr', 'dont', 'thing', 'depression']"
sarahevictor,"['ketamine', 'safety', 'reinforces', 'erroneous', '1n', 'nssi', 'livedexp', 'otherizes', 'selfinjury', 'dartmouth', 'lawsuit', 'concealing', 'conflate', 'causation', 'definitelyboth', 'hesitant', 'international', 'survivors', 'worthwhile', 'briefly', 'recognizing', 'bereaved', 'abct2018', 'processes', 'spsm', 'treatmentresistant', 'referring', 'professors', 'saves', 'tx', 'deleted', 'correlation', 'suicides', 'impending', 'context', 'possibility', 'opinions', 'detail', 'thread', 'gun', 'loss', 'deaths', 'statement', 'attending', 'research', 'exists', 'psychotherapy', 'guns', 'prevention', 'belief']"
iamscottjones13,"['complicated', 'involved', 'allowed', 'interested', 'stuck', 'happens', 'disease', 'accept', 'single', 'relationship', 'easy', 'wellbeing', 'better', 'important', 'realize', 'experience', 'understand', 'give', 'never', 'want', 'life', 'people', 'time', 'get', 'im', 'depression']"
leni_lava,"['everyday', 'wanted', 'told', 'take', 'depression']"
shinsoustardust,"['eitger', 'bayonetta', 'parents', 'dude', 'god', 'exist', 'issues', 'believe', 'lol', 'severe', 'doesnt', 'therapy', 'think', 'bts', 'going', 'want', 'tl', 'dont', 'anxiety', 'go', 'depression']"
shadeacrobat,"['counseling', 'degree', 'almost', 'book', 'psychology', 'said', 'person', 'read', 'dont', 'anxiety', 'depression']"
thekah38,"['monger', 'billy', 'unemployment', 'benefits', 'battling', 'etc', 'must', 'problems', 'sure', 'many', 'feeling', 'back', 'make', 'stress', 'people', 'im', 'depression']"
SESAME222,"['heros', 'toughi', 'teenagers', 'sexually', 'rape', 'jus', 'crazy', 'shes', 'anyone', 'everyone', 'ju', 'didnt', 'things', 'always', 'abuse', 'know', 'one', 'im', 'depression']"
OppsiteOfRad,"['chirping', 'sighed', 'pouting', 'hiro', 'target', 'smh', 'seeing', 'others', 'makes', 'doesnt', 'mean', 'shit', 'thats', 'make', 'really', 'think', 'know', 'feel', 'time', 'dont', 'like', 'anxiety', 'depression']"
cocteau_twinks,"['crowe', 'feelgood', 'hurled', 'dampd', 'disgusting', 'racist', 'campaign', 'sessions', 'film', 'meant', 'anyway', 'kicked', 'wanting', 'due', 'missed', 'report', 'article', 'children', 'meet', 'woke', 'half', 'nice', 'mana', 'miss', 'hey', 'watch', 'bc', 'doesnt', 'many', 'last', 'week', 'abuse', 'got', 'even', 'tho', 'time', 'depressed', 'men', 'like', 'ive', 'go', 'im', 'depression']"
erikaxamor,"['problems', 'depression']"
Peri_Artaku,"['patches', 'forcing', 'stick', 'likely', 'winter', 'rough', 'good', 'hit', 'im', 'depression']"
tylrxt,"['roommates', 'boyfriend', 'starting', 'cool', 'great', 'bad', 'help', 'get', 'like', 'depression']"
joshgvf,"['agoraphobia', 'addition', 'thinks', 'worry', 'definitely', 'next', 'find', 'well', 'sorry', 'social', 'deal', 'also', 'know', 'ill', 'dont', 'anxiety', 'im', 'st', 'depression']"
APleasant_,"['instability', 'picked', 'unhealthy', 'biggest', 'control', 'emotional', 'fight', 'getting', 'bad', 'ive', 'depression']"
NeighbrhoodJuul,"['sumn', 'desire', 'pack', 'different', 'rly', 'anything', 'depression']"
vesi_xoxx,"['amazing', 'living', 'happy', 'live', 'great', 'night', 'life', 'time', 'ba', 'im', 'depression']"
howe21,"['beat', 'ago', 'years', 'depression']"
ogmorgansmith,"['external', 'affirmation', 'remedy', 'loves', 'doesnt', 'someone', 'let', 'say', 'know', 'depression']"
d0wninunderland,"['fluctuating', 'thisisfine', 'begun', 'sessions', 'road', 'kept', 'recovery', 'far', 'pretty', 'ago', 'years', 'say', 'much', 'therapy', 'fr', 'day', 'anxiety', 'depression']"
FPWellman,"['advocating', 'stearney', 'shocking', 'admiral', 'officers', 'navy', 'admitted', 'scott', 'seeking', 'allowed', 'angry', 'apparent', 'news', 'dead', 'via', 'possi', 'problems', 'serv', 'found', 'arent', 'abuse', 'therapy', 'suicide', 'us', 'depression']"
undojess,"['guest', 'hehe', 'ugly', 'wish', 'wasnt', 'crippling', 'mind', 'list', 'friends', 'didnt', 'never', 'depressed', 'im', 'depression']"
gayirishthot,"['hangover', 'tubbs', 'gtgtgtgtgtgtgtgtgt', 'faced', 'enjoyable', 'local', 'challenge', 'biggest', 'twit', 'seem', 'making', 'bts', 'year', 'depression']"
CuChulainnFan,"['dupes', '4500', 'gallery', 'rlly', 'pics', 'delete', 'report', 'grade', 'thru', 'thinking', 'gives', 'suffering', 'book', 'experience', 'world', 'makes', 'ish', 'time', 'depressed', 'go', 'depression']"
shimjelly,"['natural', 'isnt', 'look', 'doesnt', 'saying', 'depression']"
MakeWay4smile,"['bpd', 'worrysome', 'comorbidity', 'compliment', 'firework', 'via', 'overreacting', 'mixing', 'splitting', 'differences', 'includes', 'billion', 'pissed', 'lungs', 'receiving', 'grandpa', 'episode', 'hehe', 'ignoring', '44', 'hotline', 'split', 'heard', 'episodes', 'victims', 'imma', 'borderline', 'harm', 'breakdown', 'attempted', 'bipolar', 'bullying', 'drown', 'angry', 'vs', 'experiencing', 'victim', 'hurts', 'songs', 'swear', 'likely', 'illnesses', 'personality', 'afraid', 'simple', 'extremely', 'hopefully', 'mild', 'scared', 'looks']"
DarthSilkyhair,"['masturbation', 'manifested', 'detestable', 'saddens', 'charmers', 'majoring', 'beings', 'realisation', 'majors', 'abusers', 'trace', 'desire', 'neither', 'exists', 'abused', 'hardest', 'terms', 'feels', 'strange', 'taught', 'events', 'guilt', 'finally', 'hide', 'wrote', 'shouldnt', 'issues', 'beca', 'fact', 'psychology', 'terrible', 'fucking', 'human', 'absolutely', 'couple', 'class', 'often', 'therapist', 'others', 'pretty', 'months', 'told', 'coming', 'miss', 'girl', 'good', 'past', 'therapy', 'hour', 'everything']"
Kaya79480377,"['jot', 'dying', 'close', 'almost', 'done', 'last', 'still', 'suicide', 'see', 'life', 'im']"
MMReimers,"['hadnt', 'jon', '27', 'chance', 'medical', 'type', 'taken', 'soon', 'fall', 'talking', 'world', 'never', 'would', 'abuse', 'today', 'got', 'lo', 'depression']"
windycity92,"['upprobably', 'shopping', 'videos', 'rich', 'sunday', 'eye', 'finish', 'taken', 'lately', 'keep', 'helps', 'tomorrow', 'video', 'new', 'enough', 'made', 'night', 'hard', 'goi', 'make', 'cant', 'need', 'life', 'every', 'time', 'im', 'depression']"
Lisam8Lisamarie,"['takecareofyourself', 'speakoutpleaselisten', 'lookoutforothersbekind', 'worldmentalhealthday', 'scared', 'mentalhealthawareness', 'speak', 'anyone', 'illness', 'please', 'today', 'mental', 'see', 'people']"
ruminmycoffee,"['photos', 'careful', 'animals', 'bank', 'headache', 'kills', 'putting', 'account', 'pull', 'hello', 'decided', 'telling', 'level', 'whats', 'saying', 'tomorrow', 'wow', 'bitch', 'back', 'bed', 'best', 'used', 'please', 'better', 'seasonal', 'didnt', 'youre', 'cat', 'new', 'days', 'post', 'take', 'work', 'need', 'depressed', 'every', 'stress', 'know', 'day', 'anxiety', 'ive', 'go', 'im', 'depression']"
breadjpg,"['qualities', 'crushing', 'reality', 'run', 'living', 'wait', 'away', 'fun', 'great', 'may', 'fuck', 'life', 'go', 'depression']"
eyecartalk,"['90s00s', 'boybands', 'hugging', 'england', 'visiting', 'attitude', 'mask', 'teenager', '31', 'grew', 'wearing', 'exactly', 'looked', 'message', 'knew', 'beautiful', 'completely', 'funny', 'proud', 'dog', 'almost', 'bts', 'found', 'miss', 'crippling', 'differen', 'already', 'kind', 'month', 'sure', 'since', 'last', 'pts', 'years', 'always', 'someone', 'old', 'would', 'though', 'still', 'thoug', 'got', 'love', 'want', 'tre', 'like', 'ive', 'im', 'anxiety', 'depression']"
IamCarrieagain,"['collegewithcarrie', 'feck', 'charlotte', 'perked', 'milkshake', 'audiobook', 'concentration', 'janet', 'ordered', 'chocolate', 'feeds', 'studied', 'kara', 'orange', 'settle', 'church', 'pizza', 'relief', 'hide', 'hopefully', 'listening', 'bed', 'grad', 'walk', 'seeing', 'nice', 'level', 'morning', 'mood', 'struggling', 'away', 'ready', 'youre', 'right', 'post', 'low', 'really', 'bad', 'today', 'going', 'much', 'want', 'see', 'know', 'ive', 'anxiety', 'go', 'im', 'depression']"
Fangz_Gore,"['imgoing', 'divebomb', 'weakening', 'connectionsour', 'equated', 'connections', 'visiting', 'spectrum', 'thatd', 'parts', 'sickness', 'hmmm', 'injury', 'disability', 'scars', 'brains', 'experiences', 'killed', 'connec', 'based', 'happens', 'result', 'futu', 'blog', 'healthy', 'brain', 'couldnt', 'okay', 'imagine', 'anyway', 'point', 'else', 'almost', 'took', 'honestly', 'commit', 'emotional', 'physical', 'probably', 'head', 'yeah', 'rest', 'someone', 'emotion', 'full', 'abuse', 'anyone', 'best', 'happy', 'better']"
sicklefrijoles,"['mentioned', 'cute', 'hes', 'hope', 'say', 'ok', 'dont', 'depression']"
radlilac,"['amount', 'gotta', 'important', 'struggling', 'youre', 'months', 'done', 'still', 'best', 'health', 'work', 'mental', 'depressed', 'help', 'get', 'ive']"
OffToKillmyself,"['category', 'evil', 'guys', 'difference', 'second', 'anymore', 'theres', 'suicidal', 'brain', 'bad', 'want', 'depressed', 'dont', 'im']"
shxdai,"['tired', 'anything', 'first', 'know', 'dont', 'depression']"
DFR682519,"['predisposes', 'speechtoast', 'allergies', 'prepare', 'followed', 'interesting', '2018', 'chronic', 'thanks', 'illness', 'trauma', 'going', 'im', 'depression']"
theintellectfre,"['awakening', 'gains', 'concussion', 'walked', 'buddy', 'puppy', 'towe', 'misunderstanding', 'informative', 'levels', 'inspired', 'dose', 'silence', 'selfcare', 'extra', 'pain', 'throw', 'online', 'truly', 'past', 'wanted', 'far', 'fighting', 'months', 'two', 'find', 'made', 'high', 'mentalhealth', 'much', 'many', 'days', 'suffer', 'come', 'read', 'today', 'need', 'thera', 'ive', 'really', 'think', 'know', 'anxiety', 'ill', 'depression']"
thintention,"['maybr', 'hobbies', 'weightloss', '2019', 'graduate', 'goals', 'hello', 'anymore', 'little', 'bit', 'work', 'um', 'depressed', 'get', 'dont', 'anxiety', 'depression']"
pbj_the_kid,"['tyler', 'post', 'depression']"
MyFibroTeam,"['fibromyalgia', 'skepticism', 'condescension', 'procedures', 'dentists', 'striving', 'appear', 'dental', 'patients', 'including', 'avoid', 'simple', 'result', 'stigma', 'fine', 'found', 'pain', 'arent', 'sometimes', 'great', 'even', 'many', 'deal', 'may', 'try', 'met', 'anxiety']"
prettytye,"['apart', 'suppose', 'weak', 'cryin', 'leave', 'cause', 'hate', 'never', 'bad', 'depressed', 'life', 'ugh', 'real', 'anxiety', 'im', 'depression']"
oh_my_god_yael,"['eyeball', 'poking', 'boulder', 'unspeakable', 'surprisingly', 'giant', 'funk', 'hates', 'fury', 'shut', 'annoying', 'stupid', 'knowing', 'proud', 'kinda', 'morning', 'control', 'mood', 'wow', 'living', 'everything', 'understand', 'arm', 'made', 'everyone', 'good', 'trying', 'ptsd', 'last', 'trauma', 'youre', 'years', 'hard', 'read', 'today', 'got', 'every', 'like', 'feel', 'one', 'us', 'anxiety', 'lo', 'depression']"
taynikole94,"['fucking', 'stressed', 'normal', 'sick', 'worst', 'wish', 'live', 'didnt', 'could', 'life', 'feel', 'depressed', 'anxiety', 'depression']"
DEVILS_MINIONS,"['originally', 'manic', 'called', 'feels', 'disorder', 'bro', 'cause', 'know', 'depression']"
iamkelvogee,"['send', 'beat', 'cure', 'depression']"
Insane_Anna,"['smattering', 'occurring', 'hypervigilance', 'php', 'raises', 'muddling', 'biomom', '3amp4', '26th', 'freeing', 'bpd', 'yay', 'sunny', 'bitter', 'rainy', 'financially', 'explain', 'drove', 'dissociation', 'creeping', 'invisible', 'tricky', 'warm', 'split', 'abusive', 'impossible', 'especially', 'husband', 'gf', 'partner', 'nearly', 'mostly', 'learning', 'hard', 'account', 'cold', 'extremely', 'disorders', '15', 'parents', 'insomnia', 'pay', 'stressed', 'become', 'tweets', 'definitely', 'non', 'holiday', 'cured', 'weeks']"
_guacamollyyy,"['overcame', 'binge', 'including', 'vs', 'mild', 'open', 'eati', 'last', 'year', 'lot', 'much', 'amp', 'dont', 'depression']"
majimagore,"['sweetest', 'boosted', 'baka', 'mitai', 'stressing', 'lt3', 'bass', 'bottle', 'bby', 'straight', 'stressed', 'drink', 'episode', 'super', 'hours', 'lets', 'listen', 'die', 'gonna', 'youre', 'come', 'work', 'fuck', 'depressed', 'year', 'stress', 'time', 'day', 'ever', 'im', 'one', 'depression']"
NadiaDaeng,"['tangible', 'artspeaksout', 'artwork', 'bedroom', 'clutter', 'mildly', 'cleared', 'inspired', 'front', 'partner', 'physically', 'mostly', 'couple', 'ocd', 'rid', 'felt', 'worst', 'emot', 'thanks', 'ton', 'show', 'mentalhealth', 'since', 'care', 'last', 'years', 'lot', 'got', 'like', 'ive', 'depression']"
Zelk_X,"['streaming', 'busy', 'guys', 'tomorrow', 'physical', 'today', 'therapy', 'see']"
thedryginger,"['tickle', '1520', 'gut', 'untreated', 'whose', 'throat', 'permanent', 'seconds', 'damage', 'internet', 'easier', 'degree', 'changes', 'jokes', 'trust', 'cell', 'brain', 'gotta', 'study', 'relati', 'mess', 'wake', 'therapist', 'follow', 'dealing', 'deep', 'issues', 'nap', 'psychology', 'sorry', 'actually', 'hey', 'mind', 'didnt', 'cause', 'last', 'could', 'health', 'much', 'make', 'therapy', 'mental', 'every', 'people', 'know', 'get', 'ate', 'anxiety', 'ever', 'one']"
JocelynMae_,"['shove', 'invalidate', 'blows', 'wallet', '85', 'persons', 'someones', 'store', 'practice', 'putting', 'swear', 'starting', 'beat', 'woke', 'laugh', 'sadness', 'wouldnt', 'kids', 'wow', 'another', 'pretty', 'change', 'feeling', 'turn', 'isnt', 'around', 'actually', 'mind', 'used', 'ppl', 'abuse', 'bad', 'today', 'people', 'ass', 'good', 'say', 'cant', 'every', 'think', 'like', 'feel', 'get', 'dont', 'anxiety', 'go', 'depression']"
terryteachout,"['hacked', 'moron', 'attention', 'leave', 'alone', 'going', 'want', 'rn', 'im', 'depression']"
notyourgurl9,"['calm', 'kill', 'keep', 'cant', 'anxiety', 'depression']"
nobeckyforyou,"['lagniappe', 'scheduled', 'celebrating', 'dumbass', 'indeed', 'wins', 'small', 'session', 'bpd', 'bitch', 'made', 'week', 'thats', 'work', 'therapy', 'every', 'time', 'day', 'im', 'depression']"
BaliBuddha24,"['scoring', 'rebs', 'roz', 'monster', 'game', '10', 'pts']"
spoookystephy,"['structure', 'compromised', 'brushing', 'memoir', 'handling', 'ruining', 'frustrating', 'dick', 'genetic', 'assignment', 'begin', 'hold', 'hair', 'cannot', 'must', 'skin', 'wasnt', 'moment', 'months', 'hot', 'big', 'literally', 'bc', 'last', 'thats', 'back', 'well', 'stress', 'would', 'bad', 'even', 'life', 'ive', 'ge', 'depression']"
